,DEPTH,VP,RHOB,AI
859,706.2216,2356.915,2.247,5295.9880927734375
860,706.374,2371.1064,2.25,5334.989501953125
861,706.5264,2358.6006,2.252,5311.56851953125
862,706.6788,2349.082,2.247,5278.38732421875
863,706.8312,2352.003,2.246,5282.5985800781245
864,706.9836,2362.5483,2.246,5306.283571289063
865,707.136,2398.958,2.251,5400.054475585937
866,707.2884,2407.74,2.262,5446.307857910157
867,707.4408,2404.8013,2.261,5437.255670410156
868,707.5932,2396.2139,2.261,5417.839553710938
869,707.7456,2385.272,2.259,5388.329386230468
870,707.898,2277.5195,2.189,4985.4902539062505
871,708.0504,2306.0247,2.22448,5129.705731679687
872,708.2028,2309.515,2.22608,5141.164912070312
873,708.3552,2308.7483,2.22832,5144.629991835937
874,708.5076,2310.505,2.231,5154.736393554687
875,708.66,2367.1357,2.2337200000000004,5287.518450039063
876,708.8124,2350.711,2.2364400000000004,5257.223969062501
877,708.9648,2369.6401,2.23902,5305.671658916016
878,709.1172,2381.913,2.24128,5338.534161250001
879,709.2696,2334.8833,2.198,5132.073495117187
880,709.422,2360.1863,2.208,5211.2913046875
881,709.5744,2363.433,2.2458,5307.798068261719
882,709.7268,2384.6675,2.24738,5359.25400225586
883,709.8792,2380.5005,2.24892,5353.555158105469
884,710.0316,2313.6836,2.206,5103.9860078125
885,710.184,2337.4265,2.228,5207.786272460938
886,710.3364,2339.8855,2.231,5220.284546142578
887,710.4888,2395.9995,2.242,5371.830905273438
888,710.6412,2388.1611,2.246,5363.809904296875
889,710.7936,2375.02,2.251,5346.170063964843
890,710.946,2378.8389,2.252,5357.14512890625
891,711.0984,2374.9858,2.255,5355.593068847656
892,711.2508,2424.7046,2.266,5494.380600585938
893,711.4032,2436.6833,2.273,5538.58125366211
894,711.5556,2437.0886,2.277,5549.250794677735
895,711.708,2430.27,2.277,5533.724834472657
896,711.8604,2423.0474,2.273,5507.586656738282
897,712.0128,2424.8086,2.273,5511.58993359375
898,712.1652,2399.39,2.27,5446.615056152344
899,712.3176,2394.8372,2.27,5436.280349121093
900,712.47,2431.4707,2.27,5519.4384960937505
901,712.6224,2380.8728,2.27,5404.581262207032
902,712.7748,2367.6514,2.27,5374.568603515625
903,712.9272,2360.267,2.271,5360.166561035156
904,713.0796,2344.2878,2.269,5319.18911303711
905,713.232,2337.1619,2.266,5296.008786621093
906,713.3844,2368.3333,2.262,5357.169815917969
907,713.5368,2339.5918,2.244,5250.0439921875
908,713.6892,2337.4585,2.241,5238.244489746094
909,713.8416,2333.0742,2.24,5226.08625
910,713.994,2361.0918,2.254,5321.90091015625
911,714.1464,2371.6968,2.258,5355.291323242188
912,714.2988,2361.0493,2.245,5300.5557153320315
913,714.4512,2329.9766,2.223,5179.537898437499
914,714.6036,2326.408,2.223,5171.604892822265
915,714.756,2256.6174,2.204,4973.584819335938
916,714.9084,2234.9883,2.193,4901.32930078125
917,715.0608,2218.0054,2.188,4852.995751953125
