,DEPTH,VP,RHOB,PHI,AI,CHECKSHOT
533,81.2292,1477.9822826388965,,,,676.5980971128608
534,81.3816,1477.9822826388965,,,,676.5980971128608
535,81.534,1477.9822826388965,,,,676.5980971128608
536,81.6864,1477.9822826388965,,,,676.5980971128608
537,81.8388,1477.9822826388965,,,,676.5980971128608
538,81.9912,1477.9822826388965,,,,676.5980971128608
539,82.1436,1477.9822826388965,,,,676.5980971128608
540,82.296,1477.9822826388965,,,,676.5980971128608
541,82.4484,1477.9822826388965,,,,676.5980971128608
542,82.6008,1477.9822826388965,,,,676.5980971128608
543,82.7532,1477.9822826388965,,,,676.5980971128608
544,82.9056,1477.9822826388965,,,,676.5980971128608
545,83.058,1477.9822826388965,,,,676.5980971128608
546,83.2104,1477.9822826388965,,,,676.5980971128608
547,83.3628,1477.9822826388965,,,,676.5980971128608
548,83.5152,1477.9822826388965,,,,676.5980971128608
549,83.6676,1477.9822826388965,,,,676.5980971128608
550,83.82,1477.9822826388965,,,,676.5980971128608
551,83.9724,1477.9822826388965,,,,676.5980971128608
552,84.1248,1477.9822826388965,,,,676.5980971128608
553,84.2772,1477.9822826388965,,,,676.5980971128608
554,84.4296,1477.9822826388965,,,,676.5980971128608
555,84.582,1477.9822826388965,,,,676.5980971128608
556,84.7344,1477.9822826388965,,,,676.5980971128608
557,84.8868,1477.9822826388965,,,,676.5980971128608
558,85.0392,1477.9822826388965,,,,676.5980971128608
559,85.1916,1477.9822826388965,,,,676.5980971128608
560,85.344,1477.9822826388965,,,,676.5980971128608
561,85.4964,1477.9822826388965,,,,676.5980971128608
562,85.6488,1477.9822826388965,,,,676.5980971128608
563,85.8012,1477.9822826388965,,,,676.5980971128608
564,85.9536,1477.9822826388965,,,,676.5980971128608
565,86.106,1477.9822826388965,,,,676.5980971128608
566,86.2584,1477.9822826388965,,,,676.5980971128608
567,86.4108,1477.9822826388965,,,,676.5980971128608
568,86.5632,1477.9822826388965,,,,676.5980971128608
569,86.7156,1477.9822826388965,,,,676.5980971128608
570,86.868,1477.9822826388965,,,,676.5980971128608
571,87.0204,1477.9822826388965,,,,676.5980971128608
572,87.1728,1477.9822826388965,,,,676.5980971128608
573,87.3252,1477.9822826388965,,,,676.5980971128608
574,87.4776,1477.9822826388965,,,,676.5980971128608
575,87.63,1477.9822826388965,,,,676.5980971128608
576,87.7824,1477.9822826388965,,,,676.5980971128608
577,87.9348,1477.9822826388965,,,,676.5980971128608
578,88.0872,1477.9822826388965,,,,676.5980971128608
579,88.2396,1477.9822826388965,,,,676.5980971128608
580,88.392,1477.9822826388965,,,,676.5980971128608
581,88.5444,1477.9822826388965,,,,676.5980971128608
582,88.6968,1477.9822826388965,,,,676.5980971128608
583,88.8492,1477.9822826388965,,,,676.5980971128608
584,89.0016,1477.9822826388965,,,,676.5980971128608
585,89.154,1477.9822826388965,,,,676.5980971128608
586,89.3064,1477.9822826388965,,,,676.5980971128608
587,89.4588,1477.9822826388965,,,,676.5980971128608
588,89.6112,1477.9822826388965,,,,676.5980971128608
589,89.7636,1477.9822826388965,,,,676.5980971128608
590,89.916,1477.9822826388965,,,,676.5980971128608
591,90.0684,1477.9822826388965,,,,676.5980971128608
592,90.2208,1477.9822826388965,,,,676.5980971128608
593,90.3732,1477.9822826388965,,,,676.5980971128608
594,90.5256,1477.9822826388965,,,,676.5980971128608
595,90.678,1477.9822826388965,,,,676.5980971128608
596,90.8304,1477.9822826388965,,,,676.5980971128608
597,90.9828,1477.9822826388965,,,,676.5980971128608
598,91.1352,1477.9822826388965,,,,676.5980971128608
599,91.2876,1477.9822826388965,,,,676.5980971128608
600,91.44,1477.9822826388965,,,,676.5980971128608
601,91.5924,1477.9822826388965,,,,676.5980971128608
602,91.7448,1477.9822826388965,,,,676.5980971128608
603,91.8972,1477.9822826388965,,,,676.5980971128608
604,92.0496,1477.9822826388965,,,,676.5980971128608
605,92.202,1477.9822826388965,,,,676.5980971128608
606,92.3544,1477.9822826388965,,,,676.5980971128608
607,92.5068,1477.9822826388965,,,,676.5980971128608
